Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Baltimore,AFC North,"0-0",0.000,1,9.10,1,5.83,4,27.13,1,2.76,1.85,1,0.00,10,0.32,10.55,6.45
Philadelphia,NFC East,"0-0",0.000,2,9.09,2,5.50,3,27.22,3,2.33,1.84,1,0.00,5,1.01,10.18,6.82
Buffalo,AFC East,"0-0",0.000,3,9.05,3,5.34,2,27.99,8,1.40,1.90,1,0.00,20,-0.40,10.62,6.38
Kansas City,AFC West,"0-0",0.000,4,8.97,6,3.83,6,25.68,5,2.21,1.80,1,0.00,16,-0.23,10.02,6.98
Green Bay,NFC North,"0-0",0.000,5,8.97,5,3.99,8,25.48,2,2.56,1.86,1,0.00,9,0.57,9.75,7.25
Detroit,NFC North,"0-0",0.000,6,8.96,4,4.45,1,28.19,18,0.32,1.81,1,0.00,2,1.61,9.53,7.47
LA Rams,NFC West,"0-0",0.000,7,8.86,8,2.18,13,24.02,4,2.21,1.79,1,0.00,17,-0.26,9.39,7.61
Tampa Bay,NFC South,"0-0",0.000,8,8.85,7,2.60,7,25.58,11,1.08,1.78,1,0.00,19,-0.40,9.59,7.41
San Francisco,NFC West,"0-0",0.000,9,8.78,9,1.74,11,24.76,12,1.03,1.78,1,0.00,32,-1.46,9.65,7.35
Minnesota,NFC North,"0-0",0.000,10,8.77,11,1.39,12,24.60,14,0.84,1.78,1,0.00,6,0.97,8.62,8.38
Cincinnati,AFC North,"0-0",0.000,11,8.76,10,1.72,5,25.94,23,-0.18,1.78,1,0.00,11,0.31,8.98,8.02
LA Chargers,AFC West,"0-0",0.000,12,8.73,13,0.71,15,23.50,9,1.27,1.77,1,0.00,21,-0.46,8.90,8.10
Denver,AFC West,"0-0",0.000,13,8.72,14,0.47,18,23.02,7,1.51,1.83,1,0.00,24,-0.57,8.85,8.15
Pittsburgh,AFC North,"0-0",0.000,14,8.71,16,0.29,20,22.75,6,1.59,1.80,1,0.00,8,0.66,8.31,8.69
Dallas,NFC East,"0-0",0.000,15,8.70,12,0.80,10,24.86,20,-0.02,1.78,1,0.00,12,0.29,8.64,8.36
Seattle,NFC West,"0-0",0.000,16,8.70,15,0.41,14,23.53,13,0.94,1.74,1,0.00,26,-0.65,8.85,8.15
Washington,NFC East,"0-0",0.000,17,8.67,17,0.25,9,25.00,27,-0.71,1.71,1,0.00,7,0.73,8.27,8.73
Miami,AFC East,"0-0",0.000,18,8.64,18,-0.24,17,23.24,15,0.57,1.88,1,0.00,25,-0.63,8.60,8.40
Arizona,NFC West,"0-0",0.000,19,8.61,19,-0.59,16,23.39,19,0.07,1.74,1,0.00,15,-0.15,8.28,8.72
Houston,AFC South,"0-0",0.000,20,8.58,20,-1.35,22,22.30,17,0.41,1.78,1,0.00,18,-0.28,8.03,8.97
Chicago,NFC North,"0-0",0.000,21,8.57,21,-1.59,26,21.37,10,1.09,1.80,1,0.00,3,1.57,7.25,9.75
New Orleans,NFC South,"0-0",0.000,22,8.55,22,-1.67,24,21.85,16,0.54,1.76,1,0.00,29,-0.92,8.16,8.84
Atlanta,NFC South,"0-0",0.000,23,8.45,23,-2.51,19,22.87,30,-1.33,1.79,1,0.00,23,-0.48,7.69,9.31
Las Vegas,AFC West,"0-0",0.000,24,8.45,24,-2.87,25,21.68,26,-0.50,1.77,1,0.00,22,-0.48,7.53,9.47
NY Jets,AFC East,"0-0",0.000,25,8.43,26,-3.26,28,21.18,25,-0.38,1.81,1,0.00,14,-0.09,7.25,9.75
Cleveland,AFC North,"0-0",0.000,26,8.42,27,-3.51,31,20.62,21,-0.08,1.83,1,0.00,4,1.25,6.66,10.34
Indianapolis,AFC South,"0-0",0.000,27,8.41,25,-3.03,21,22.64,31,-1.62,1.79,1,0.00,28,-0.90,7.64,9.36
New England,AFC East,"0-0",0.000,28,8.40,28,-3.54,29,20.88,24,-0.38,1.76,1,0.00,27,-0.76,7.39,9.61
NY Giants,NFC East,"0-0",0.000,29,8.40,30,-3.75,32,20.42,22,-0.12,1.71,1,0.00,1,1.63,6.43,10.57
Jacksonville,AFC South,"0-0",0.000,30,8.39,29,-3.68,27,21.26,28,-0.88,1.75,1,0.00,31,-0.96,7.42,9.58
Tennessee,AFC South,"0-0",0.000,31,8.33,31,-4.48,30,20.74,29,-1.18,1.80,1,0.00,30,-0.92,7.10,9.90
Carolina,NFC South,"0-0",0.000,32,8.22,32,-5.43,23,21.85,32,-3.22,1.74,1,0.00,13,0.05,6.43,10.57
